Date,Time,AirQuality,CO,Humidity,Temperature
2021-12-01,13:26:25.112583,84,52,61.00,30.60
2021-12-01,13:26:27.143061,87,49,61.00,30.60
2021-12-01,13:26:29.157715,86,52,61.00,30.60
2021-12-01,13:26:31.188189,84,53,61.00,30.60
2021-12-01,13:26:33.218721,87,50,61.00,30.60
2021-12-01,13:26:35.249150,87,49,61.00,30.60
2021-12-01,13:26:37.263751,86,51,61.00,30.60
2021-12-01,13:26:39.294315,86,52,61.00,30.50
2021-12-01,13:26:41.324750,88,48,61.00,30.50
2021-12-01,13:26:43.355314,88,48,61.00,30.50
2021-12-01,13:26:45.369827,85,52,61.00,30.50
2021-12-01,13:26:47.400360,88,49,61.00,30.50
2021-12-01,13:26:49.430887,88,48,61.00,30.50
2021-12-01,13:26:51.461367,87,50,61.00,30.50
2021-12-01,13:26:53.476064,88,47,61.00,30.50
2021-12-01,13:26:55.506544,88,48,61.00,30.50
2021-12-01,13:26:57.537123,85,52,61.00,30.50
2021-12-01,13:26:59.551710,87,50,61.00,30.50
2021-12-01,13:27:01.582189,84,52,61.00,30.50
2021-12-01,13:27:03.612762,88,49,61.00,30.50
2021-12-01,13:27:05.643119,85,53,61.00,30.50
2021-12-01,13:27:07.657522,88,48,61.00,30.50
2021-12-01,13:27:09.687922,88,48,61.00,30.50
2021-12-01,13:27:11.718364,87,50,61.00,30.50
2021-12-01,13:27:13.748747,87,50,61.00,30.50
2021-12-01,13:27:15.763295,88,48,61.00,30.50
2021-12-01,13:27:17.793800,86,51,61.00,30.50
2021-12-01,13:27:19.824331,88,48,61.00,30.50
2021-12-01,13:27:21.854759,84,53,61.00,30.50
2021-12-01,13:27:23.869195,87,50,62.00,30.50
2021-12-01,13:27:25.899817,84,53,62.00,30.50
2021-12-01,13:27:27.930315,87,50,62.00,30.50
2021-12-01,13:27:29.960964,87,50,62.00,30.50
2021-12-01,13:27:31.975690,85,52,62.00,30.50
2021-12-01,13:27:34.006190,88,48,62.00,30.50
2021-12-01,13:27:36.036735,84,53,62.00,30.50
2021-12-01,13:27:38.067358,89,49,62.00,30.50
2021-12-01,13:27:40.082304,84,53,62.00,30.50
2021-12-01,13:27:42.113203,88,48,62.00,30.50
2021-12-01,13:27:44.143977,88,48,62.00,30.50
2021-12-01,13:27:46.174891,85,53,62.00,30.50
2021-12-01,13:27:48.189728,84,53,62.00,30.50
2021-12-01,13:27:50.220462,85,53,62.00,30.50
2021-12-01,13:27:52.251331,86,52,62.00,30.50
2021-12-01,13:27:54.266034,84,53,62.00,30.50
2021-12-01,13:27:56.296830,87,52,62.00,30.50
2021-12-01,13:27:58.327427,87,50,62.00,30.50
2021-12-01,13:28:00.358227,86,51,62.00,30.50
2021-12-01,13:28:02.373058,84,53,62.00,30.40
2021-12-01,13:28:04.403716,89,48,62.00,30.40
2021-12-01,13:28:06.434354,84,53,62.00,30.40
2021-12-01,13:28:08.465086,88,51,62.00,30.40
2021-12-01,13:28:10.479970,89,48,62.00,30.40
2021-12-01,13:28:12.510715,88,49,62.00,30.40
2021-12-01,13:28:14.541408,89,48,62.00,30.40
2021-12-01,13:28:16.556289,87,49,62.00,30.40
2021-12-01,13:28:18.587008,89,48,62.00,30.40
2021-12-01,13:28:20.617700,84,53,62.00,30.40
2021-12-01,13:28:22.648549,87,51,62.00,30.40
2021-12-01,13:28:24.663260,88,49,62.00,30.40
2021-12-01,13:28:26.693935,87,52,62.00,30.40
2021-12-01,13:28:28.724644,85,52,62.00,30.40
2021-12-01,13:28:30.755350,84,53,62.00,30.40
2021-12-01,13:28:32.770013,89,48,62.00,30.40
2021-12-01,13:28:34.800672,89,48,62.00,30.40
2021-12-01,13:28:36.831261,85,52,62.00,30.40
2021-12-01,13:28:38.861931,87,50,62.00,30.40
2021-12-01,13:28:40.876661,88,49,62.00,30.40
2021-12-01,13:28:42.907142,88,48,62.00,30.40
2021-12-01,13:28:44.937539,88,49,62.00,30.40
2021-12-01,13:28:46.952014,84,53,62.00,30.40
2021-12-01,13:28:48.982478,84,53,62.00,30.40
2021-12-01,13:28:51.012995,87,51,62.00,30.40
2021-12-01,13:28:53.043636,85,52,62.00,30.40
2021-12-01,13:28:55.058382,87,51,62.00,30.40
2021-12-01,13:28:57.088893,86,52,62.00,30.40
2021-12-01,13:28:59.119430,88,50,62.00,30.40
2021-12-01,13:29:01.150071,86,52,62.00,30.40
2021-12-01,13:29:03.164703,88,50,62.00,30.40
2021-12-01,13:29:05.195245,85,53,62.00,30.40
2021-12-01,13:29:07.225813,87,51,62.00,30.40
2021-12-01,13:29:09.256404,88,49,62.00,30.40
2021-12-01,13:29:11.270924,86,52,62.00,30.40
2021-12-01,13:29:13.301505,85,53,62.00,30.40
2021-12-01,13:29:15.331925,89,48,62.00,30.40
2021-12-01,13:29:17.362470,87,52,62.00,30.40
2021-12-01,13:29:19.377242,89,48,62.00,30.30
2021-12-01,13:29:21.407799,85,53,62.00,30.30
2021-12-01,13:29:23.438389,89,51,62.00,30.30
2021-12-01,13:29:25.469010,89,48,62.00,30.30
2021-12-01,13:29:27.483627,85,53,62.00,30.30
2021-12-01,13:29:29.514204,85,53,62.00,30.30
2021-12-01,13:29:31.544726,89,48,62.00,30.30
2021-12-01,13:29:33.575418,88,50,62.00,30.30
2021-12-01,13:29:35.590355,85,53,62.00,30.30
2021-12-01,13:29:37.621124,85,53,62.00,30.30
2021-12-01,13:29:39.651863,86,52,62.00,30.30
2021-12-01,13:29:41.666677,88,49,62.00,30.30
2021-12-01,13:29:43.697377,84,53,62.00,30.30
2021-12-01,13:29:45.727901,87,51,62.00,30.30
2021-12-01,13:29:47.758622,89,49,62.00,30.30
2021-12-01,13:29:49.773362,85,53,62.00,30.30
2021-12-01,13:29:51.804016,87,52,62.00,30.30
2021-12-01,13:29:53.834752,89,49,62.00,30.30
2021-12-01,13:29:55.865347,89,48,62.00,30.30
2021-12-01,13:29:57.880049,87,51,62.00,30.30
2021-12-01,13:29:59.910735,88,50,62.00,30.30
2021-12-01,13:30:01.941493,84,53,62.00,30.30
2021-12-01,13:30:03.972178,89,48,62.00,30.30
2021-12-01,13:30:05.986974,85,53,62.00,30.30
2021-12-01,13:30:08.017622,84,53,62.00,30.30
2021-12-01,13:30:10.048330,86,53,62.00,30.30
2021-12-01,13:30:12.078952,85,53,62.00,30.30
2021-12-01,13:30:14.093692,89,48,62.00,30.30
2021-12-01,13:30:16.124261,88,49,62.00,30.30
2021-12-01,13:30:18.154828,88,49,62.00,30.30
2021-12-01,13:30:20.185465,88,50,62.00,30.30
2021-12-01,13:30:22.200364,85,53,62.00,30.30
2021-12-01,13:30:24.230972,89,48,62.00,30.30
2021-12-01,13:30:26.261715,89,48,62.00,30.30
2021-12-01,13:30:28.292390,85,53,62.00,30.30
2021-12-01,13:30:30.307186,89,50,62.00,30.20
2021-12-01,13:30:32.337763,84,53,62.00,30.30
2021-12-01,13:30:34.368503,89,48,62.00,30.30
2021-12-01,13:30:36.399387,85,53,62.00,30.30
2021-12-01,13:30:38.414244,89,49,62.00,30.20
2021-12-01,13:30:40.444972,87,51,62.00,30.20
2021-12-01,13:30:42.475685,88,51,62.00,30.20
2021-12-01,13:30:44.506275,88,49,62.00,30.20
2021-12-01,13:30:46.521123,88,51,62.00,30.20
2021-12-01,13:30:48.551730,89,48,62.00,30.20
2021-12-01,13:30:50.582445,86,52,62.00,30.20
2021-12-01,13:30:52.597179,89,48,62.00,30.20
2021-12-01,13:30:54.627710,88,49,62.00,30.20
2021-12-01,13:30:56.658048,85,52,62.00,30.20
2021-12-01,13:30:58.688437,89,48,62.00,30.20
2021-12-01,13:31:00.703023,89,48,62.00,30.20
2021-12-01,13:31:02.733640,85,53,62.00,30.20
2021-12-01,13:31:04.764341,88,51,62.00,30.20
2021-12-01,13:31:06.795036,84,53,62.00,30.20
2021-12-01,13:31:08.809915,89,48,62.00,30.20
2021-12-01,13:31:10.840501,85,53,62.00,30.20
2021-12-01,13:31:12.871249,85,53,62.00,30.20
2021-12-01,13:31:14.901868,86,53,62.00,30.30
2021-12-01,13:31:16.916570,84,53,62.00,30.20
2021-12-01,13:31:18.947252,89,51,62.00,30.20
2021-12-01,13:31:20.977862,89,52,62.00,30.30
2021-12-01,13:31:23.008553,89,53,62.00,30.30
2021-12-01,13:31:25.023316,87,48,62.00,30.30
2021-12-01,13:31:27.053983,88,53,62.00,30.30
2021-12-01,13:31:29.084587,89,52,62.00,30.30
2021-12-01,13:31:31.115179,84,53,62.00,30.30
2021-12-01,13:31:33.130064,84,53,62.00,30.30
2021-12-01,13:31:35.160743,88,53,62.00,30.30
2021-12-01,13:31:37.191318,84,53,62.00,30.30
2021-12-01,13:31:39.222000,89,51,62.00,30.30
2021-12-01,13:31:41.236814,89,53,62.00,30.30
2021-12-01,13:31:43.267384,88,49,62.00,30.30
2021-12-01,13:31:45.298019,85,50,62.00,30.30
2021-12-01,13:31:47.328725,85,53,62.00,30.30
2021-12-01,13:31:49.343351,85,50,62.00,30.20
2021-12-01,13:31:51.374000,85,53,62.00,30.30
2021-12-01,13:31:53.404505,84,50,62.00,30.20
2021-12-01,13:31:55.435108,88,48,62.00,30.20
2021-12-01,13:31:57.449714,87,48,62.00,30.20
2021-12-01,13:31:59.480297,84,52,62.00,30.20
2021-12-01,13:32:01.510977,88,53,62.00,30.20
2021-12-01,13:32:03.541547,88,48,62.00,30.20
2021-12-01,13:32:05.556313,85,54,62.00,30.20
2021-12-01,13:32:07.587010,85,53,62.00,30.20
2021-12-01,13:32:09.617643,88,54,62.00,30.20
2021-12-01,13:32:11.632406,86,48,62.00,30.20
2021-12-01,13:32:13.663058,86,49,62.00,30.20
2021-12-01,13:32:15.693704,86,54,62.00,30.20
2021-12-01,13:32:17.724285,87,50,62.00,30.20
2021-12-01,13:32:19.738994,86,53,62.00,30.20
2021-12-01,13:32:21.769601,89,53,62.00,30.20
2021-12-01,13:32:23.800116,87,48,62.00,30.30
2021-12-01,13:32:25.830746,87,49,62.00,30.20
2021-12-01,13:32:27.845645,85,50,62.00,30.20
2021-12-01,13:32:29.876265,88,50,62.00,30.20
2021-12-01,13:32:31.906939,89,53,62.00,30.20
2021-12-01,13:32:33.937597,86,51,62.00,30.20
2021-12-01,13:32:35.952229,88,49,62.00,30.20
2021-12-01,13:32:37.982952,84,54,62.00,30.20
2021-12-01,13:32:40.013517,89,52,62.00,30.20
2021-12-01,13:32:42.044134,85,53,62.00,30.20
2021-12-01,13:32:44.058946,87,53,62.00,30.20
2021-12-01,13:32:46.089570,86,53,62.00,30.20
2021-12-01,13:32:48.120043,87,49,62.00,30.20
2021-12-01,13:32:50.150725,85,51,62.00,30.20
2021-12-01,13:32:52.165423,89,48,62.00,30.20
2021-12-01,13:32:54.196026,85,53,62.00,30.20
2021-12-01,13:32:56.226647,89,48,62.00,30.20
2021-12-01,13:32:58.257296,85,53,62.00,30.20
2021-12-01,13:33:00.272268,88,49,62.00,30.20
